"19,343","19,343","-17,041","82,549","-4,009","63,206","+13,032",
"-52,089","23,477","+2,684","54,945","+16,186","31,468","+13,502",
"-23,269","126,330","-32,049","214,107","-78,291","87,777","-46,242",
273,"49,331","+4,707","67,969",-230,"18,638","-4,937",
"-15,213","5,690",-46,"11,561",+18,"5,871",+64,
"-238,333","-9,767","+18,097","390,837","+4,725","400,604","-13,372",
"-81,606","-45,026","+3,734","69,497","+4,501","114,523",+767,
"52,659","181,858","+22,092","259,292","+31,385","77,434","+9,293",
"-144,453","-58,963","-8,161","81,667","-5,587","140,630","+2,574",
"-27,567","-27,567","-5,057","10,779","-1,787","38,346","+3,270",
"-6,888","-6,888","-4,228","6,501","+1,673","13,389","+5,901",
"-117,540","-19,343","+17,041","63,206","+13,032","82,549","-4,009",
"-38,249","-23,477","-2,684","31,468","+13,502","54,945","+16,186",
"-158,379","-126,330","+32,049","87,777","-46,242","214,107","-78,291",
"-58,283","-49,331","-4,707","18,638","-4,937","67,969",-230,
"-5,736","-5,690",+46,"5,871",+64,"11,561",+18,
"5,265","9,767","-18,097","400,604","-13,372","390,837","+4,725",
"-43,560","45,026","-3,734","114,523",+767,"69,497","+4,501",
"-181,858","-181,858","-22,092","77,434","+9,293","259,292","+31,385",
"33,883","58,963","+8,161","140,630","+2,574","81,667","-5,587",
"-24,301","27,567","+5,057","38,346","+3,270","10,779","-1,787",
"-19,068","6,888","+4,228","13,389","+5,901","6,501","+1,673",
,,,,,,,
